"profile_id";"real_money";"money"
624;11;300
2236;3;0
2580;4;100
28538;2;0
69331;213;0
69576;10;0
74114;5;100
130363;1;0
139958;39;0
174660;83;0
241247;33;0
309733;16;0
420563;3;0
454981;2;300
538823;28;0
542774;3;0
549721;10;0
598625;7;0
677985;144;6500
690664;31;0
709685;3;0
782040;31;2000
813277;284;9000
828214;1;0
886555;1;0
941257;7;0
954426;36;0
980594;11;0
1006438;1;0
1044583;1;0
1059202;3;0
1060544;10;0
1088485;61;0
1169503;1;0
1204790;28;0
1212844;12;0
1214540;58;0
1247846;2;0
1267137;0;300
1271605;1;0
1272664;1;0
1277078;11;0
1286198;0;300
1307330;3;0
1339551;0;300
1462242;6;0
1513476;0;100
1534038;3;0
1541067;3;0
1550436;5;0
1599483;10;300
1611634;194;2800
1628204;1;0
1635803;3;0
1643438;6;0
1656516;20;0
1681942;1;0
1698713;200;9000
1713407;28;0
1727486;10;0
1742506;0;400
1785867;13;300
1846993;1;0
1891443;2;1000
1906235;0;100
1908233;3;0
1913569;55;0
1921014;187;1100
1921393;10;0
1937869;10;0
1946466;0;200
1948084;6;3100
1965277;3;0
1985851;4;200
2032187;1;0
2034911;1;0
2052048;0;400
2056577;1;0
2081270;26;0
2091998;2;0
2100422;0;1200
2109377;68;0
2149626;200;0
2192727;1;0
2214123;1;0
2217812;3;100
2218756;2;0
2233204;2;0
2242436;0;400
2243733;0;300
2280832;1;0
2291893;0;300
2293755;36;0
2299310;36;0
2312014;12;0
2325289;10;0
2332293;4;0
2337508;0;100
2374955;0;100
2410364;10;2100
2410390;34;0
2419424;0;100
2430410;3;1000
2430479;3;0
2443183;0;400
2449728;32;0
2451971;1;0
2459166;1;0
2473276;1;0
2481036;3;0
2481360;1;0
2493582;44;0
2495913;10;0
2518638;52;2000
2524589;1;0
2528815;7;1100
2538754;190;0
2540151;32;400
2540321;4;0
2546812;15;0
2549139;10;0
2552089;1;0
2585695;1;500
2590223;13;3400
2596652;1;0
2602099;3;0
2612714;3;0
2612737;3;0
2615266;0;100
2616203;10;100
2624953;2;0
2638340;2;0
2644455;0;100
2648524;1;0
2651179;1;0
2653955;1;0
2661703;3;0
